,Headway,Velocity
441,1.34,1.62
442,3.81,1.5
443,1.22,1.6
444,1.15,1.29
445,1.18,1.35
446,0.04,2.52
447,1.99,1.8
448,1.29,2.62
449,0.43,1.46
450,1.1,0.97
451,0.2,2.28
452,0.91,1.76
453,1.63,1.83
454,2.06,0.93
455,1.94,2.53
456,1.21,2.82
457,0.99,1.48
458,0.76,2.57
459,1.28,1.2
460,2.08,1.27
461,1.17,1.02
462,0.59,1.49
463,1.99,2.06
464,2.42,1.46
465,0.89,2.79
466,0.52,2.26
467,0.22,2.04
468,0.26,1.43
469,1.9,2.15
470,1.67,2.95
471,1.12,1.93
472,1.16,2.49
473,2.93,2.49
474,1.28,2.22
475,1.6,2.58
476,2.02,1.52
477,1.08,1.92
478,1.12,2.17
479,1.4,1.78
480,1.56,2.25
481,2.36,0.91
482,0.71,1.22
483,0.86,1.99
484,0.24,1.74
485,2.19,3.11
486,2.55,2.24
487,1.18,1.38
488,1.53,0.72
489,1.19,1.8
490,2.23,2.2
491,1.45,2.15
492,0.55,2.4
493,1.53,2.24
494,1.9,0.62
495,1.58,1.44
496,1.5,2.67
497,1.95,1.47
498,0.2,1.85
499,1.89,1.51
500,1.96,0.85
501,0.21,1.86
502,0.4,0.98
503,1.7,2.28
504,1.78,1.4
505,2.75,1.36
506,1.76,0.8
507,1.76,1.67
508,0.95,2.17
509,0.58,1.66
510,1.45,1.87
511,1.36,1.26
512,2.16,2.4
513,0.5,3.41
514,2.05,1.66
515,2.32,2.48
516,1.02,1.98
517,0.59,3.09
518,0.59,2.47
519,1.84,2.8
520,2.26,2.38
521,2.43,1.4
522,2.51,1.23
523,1.33,1.99
524,0.68,2.53
525,1.35,1.98
526,2.77,1.95
527,1.52,1.27
528,1.12,1.38
529,1.3,1.72
530,1.12,1.75
531,1.76,1.48
532,1.52,1.21
533,1.52,2.07
534,2.07,1.56
535,0.69,2.23
536,2.54,2.05
537,0.79,1.39
538,3.0,2.15
539,1.0,0.99
540,2.24,1.48
541,1.93,1.19
542,1.53,2.07
543,2.81,0.69
544,0.29,2.14
545,0.88,1.54
546,1.9,2.26
547,0.8,2.35
548,1.94,2.43
549,1.74,3.04
550,2.21,2.64
551,1.72,0.84
552,2.65,1.74
553,0.86,0.86
554,1.75,0.93
555,1.46,1.46
556,2.26,2.33
557,1.99,1.2
558,1.62,0.26
559,0.66,2.44
560,2.45,2.48
561,2.11,2.27
562,0.2,0.99
563,0.52,2.21
564,1.98,1.74
565,2.59,1.75
566,1.42,1.8
567,1.54,0.01
568,1.12,1.95
569,1.79,2.72
570,2.65,1.84
571,1.46,2.37
572,0.76,1.49
573,0.45,2.02
574,0.3,1.89
575,0.54,1.57
576,1.43,1.11
577,1.19,1.42
578,0.77,1.76
579,1.83,2.66
580,0.94,2.45
581,0.07,0.61
582,1.31,1.88
583,0.8,1.33
584,1.32,1.74
585,1.66,2.76
586,2.43,2.0
587,0.3,2.48
588,0.82,2.0
589,0.34,1.39
590,0.28,3.0
591,2.01,2.2
592,3.28,2.7
593,1.21,2.62
594,2.84,1.96
595,2.43,2.05
596,1.63,1.8
597,3.94,1.71
598,2.16,1.9
599,1.31,1.29
600,1.7,2.32
601,2.1,2.25
602,2.48,1.17
603,2.54,2.2
604,2.22,2.73
605,1.66,1.39
606,1.5,1.44
607,0.82,2.99
608,2.48,2.08
609,1.53,0.08
610,2.5,1.84
611,2.17,1.11
612,1.0,1.62
613,1.34,2.48
614,1.41,2.74
615,2.3,2.35
616,2.0,2.22
617,0.41,1.12
618,0.02,2.11
619,1.85,1.66
620,3.7,0.69
621,1.33,2.04
622,2.81,0.92
623,0.78,3.03
624,0.1,1.3
625,1.16,1.98
626,3.19,1.63
627,1.94,1.79
628,0.91,1.3
629,1.71,1.87
630,2.19,0.49
631,1.73,3.13
632,0.93,3.21
633,2.18,1.14
634,2.19,1.07
635,0.68,2.57
636,1.36,1.67
637,1.17,1.31
638,0.4,1.79
639,1.58,2.3
640,0.22,1.75
641,1.8,0.78
642,2.11,2.13
643,1.66,2.8
644,1.88,0.79
645,1.49,0.06
646,2.14,1.26
647,0.41,2.46
648,1.93,2.0
649,3.21,1.22
650,0.92,2.1
651,1.31,2.38
652,1.77,2.29
653,1.57,3.21
654,0.93,2.08
655,1.21,2.86
656,0.97,0.83
657,1.41,3.11
658,1.39,0.91
659,1.64,1.22
660,2.09,2.47
661,3.05,0.65
662,1.81,2.03
663,1.77,2.12
664,3.14,1.89
665,2.27,1.43
666,1.63,0.25
667,0.26,2.41
668,1.46,1.22
669,0.41,1.57
670,3.03,0.95
671,1.3,2.9
672,0.91,1.08
673,1.19,0.69
674,0.62,2.16
675,2.47,1.75
676,0.57,2.32
677,1.82,0.31
678,1.81,1.39
679,1.64,1.54
680,1.0,1.72
681,2.31,1.77
682,0.23,2.01
683,1.37,2.46
684,2.27,1.89
685,1.26,2.64
686,2.28,2.14
687,1.49,1.83
688,1.1,2.54
689,2.15,0.43
690,1.13,2.84
691,0.98,0.88
692,2.34,0.63
693,1.14,1.0
694,1.65,2.61
695,1.89,1.47
696,1.6,2.15
697,0.74,2.09
698,2.04,2.92
699,1.01,2.43
700,1.08,1.73
701,1.78,1.86
702,2.52,1.9
703,0.94,2.4
704,3.49,0.88
705,1.65,1.97
706,1.64,0.93
707,0.93,0.66
708,1.79,1.53
709,0.49,1.11
710,1.9,2.27
711,1.33,0.72
712,1.42,1.91
713,1.41,2.32
714,2.38,1.72
715,1.46,1.49
716,2.24,2.38
717,1.4,2.3
718,0.32,1.46
719,1.45,1.93
720,0.05,0.29
721,1.16,2.08
722,0.93,1.08
723,1.0,2.04
724,1.57,2.26
725,1.69,1.78
726,0.53,1.3
727,2.65,1.79
728,3.4,0.84
729,2.02,1.78
730,2.83,1.7
731,2.1,0.85
732,0.62,1.28
733,1.6,1.05
734,2.27,0.79
735,0.49,2.67
736,0.73,2.02
737,3.44,0.1
738,1.83,2.15
739,1.17,1.15
740,0.67,2.64
741,1.81,1.15
742,2.84,1.12
743,1.94,2.3
744,1.97,1.37
745,1.93,1.77
746,0.39,2.2
747,2.0,1.12
748,1.69,1.95
749,1.27,1.82
750,1.12,1.56
751,2.55,0.93
752,1.31,1.18
753,1.45,2.53
754,1.48,1.41
755,1.41,1.8
756,0.52,2.3
757,2.48,1.57
758,1.37,2.25
759,1.17,2.84
760,2.48,0.19
761,0.91,2.18
762,0.36,2.13
763,1.44,1.29
764,1.44,2.64
765,2.31,2.47
766,1.63,1.88
767,1.19,3.94
768,2.14,0.79
769,2.16,2.47
770,2.13,3.07
771,1.01,2.3
772,1.22,0.82
773,0.66,1.7
774,2.08,2.2
775,1.32,2.01
776,0.64,2.11
777,2.25,1.86
778,2.37,2.95
779,0.23,1.11
780,1.09,2.25
781,1.26,1.78
782,1.43,2.69
783,0.32,2.94
784,1.5,2.12
785,1.58,2.03
786,2.18,2.59
787,1.12,1.7
788,2.4,2.45
789,0.56,2.71
790,2.09,3.01
791,0.65,2.2
792,0.78,2.68
793,0.03,3.52
794,1.14,1.54
795,2.58,1.6
796,0.83,0.76
797,1.95,1.39
798,2.68,0.63
799,1.29,1.76
800,3.14,0.36
801,2.27,2.75
802,1.59,1.27
803,1.48,1.95
804,0.35,3.27
805,2.93,1.62
806,0.99,1.7
807,1.76,1.21
808,1.39,1.83
809,2.5,1.88
810,1.02,2.98
811,0.64,1.66
812,1.37,0.68
813,1.01,1.24
814,1.54,0.68
815,0.72,0.21
816,2.23,1.17
817,1.05,1.77
818,1.67,1.39
819,0.03,3.09
820,0.89,2.56
821,0.1,1.93
822,0.6,2.51
823,1.41,1.15
824,1.38,2.02
825,1.35,1.65
826,2.01,1.78
827,1.94,2.42
828,1.49,0.7
829,2.1,1.46
830,2.06,1.23
831,1.58,1.29
832,1.06,2.31
833,1.35,1.66
834,1.89,1.73
835,0.58,1.74
836,2.62,2.31
837,1.3,1.01
838,1.3,3.05
839,2.19,1.05
840,1.19,1.34
841,1.18,0.96
842,3.11,1.91
843,1.04,3.16
844,1.82,1.76
845,0.3,1.73
846,0.15,2.19
847,1.68,1.44
848,1.06,1.79
849,1.97,1.06
850,1.76,2.3
851,1.91,2.56
852,1.93,2.59
853,0.86,1.1
854,2.94,1.79
855,0.06,1.75
856,1.23,3.06
857,1.81,1.65
858,2.04,3.55
859,1.91,0.71
860,1.7,2.23
861,1.67,3.03
862,2.16,1.92
863,1.32,1.65
864,0.68,2.28
865,0.41,3.46
866,2.12,2.27
867,1.51,1.54
868,1.27,1.43
869,1.96,0.48
870,0.06,1.24
871,2.78,3.14
872,0.65,1.21
873,1.49,0.55
874,0.72,0.92
875,0.63,0.71
876,0.15,1.0
877,2.39,1.24
878,3.09,2.09
879,1.58,1.67
880,1.01,1.07
881,0.2,1.62
882,2.04,2.81
883,1.93,2.55
884,1.45,1.87
885,2.07,1.52
886,0.63,2.29
887,1.25,0.96
888,3.34,1.88
889,1.7,2.09
890,2.84,1.81
891,2.49,3.51
892,0.98,0.36
893,0.65,2.49
894,1.85,0.82
895,2.33,2.11
896,2.48,1.69
897,1.76,1.37
898,1.76,1.05
899,0.43,1.39
900,1.97,2.66
901,1.74,2.15
902,1.56,1.38
903,2.04,1.56
904,1.45,0.05
905,1.4,1.74
906,0.85,1.4
907,1.82,2.16
908,0.23,2.41
909,1.18,0.88
910,2.09,2.18
911,1.5,1.2
912,0.88,2.74
913,2.27,0.87
914,0.93,2.34
915,1.98,2.37
916,1.73,1.61
917,0.56,2.88
918,0.3,1.94
919,2.09,1.58
920,0.88,1.67
921,0.01,1.38
922,1.5,1.43
923,0.91,2.84
924,1.65,0.37
925,1.25,1.66
926,2.5,2.16
927,1.05,1.06
928,1.38,2.68
929,1.2,1.81
930,1.78,1.54
931,1.8,0.83
932,0.44,1.21
933,2.41,0.76
934,1.74,1.79
935,1.49,1.94
936,1.46,1.52
937,0.73,1.62
938,1.26,0.55
939,0.21,1.36
940,1.04,0.3
941,0.69,1.71
942,0.33,1.76
943,0.2,2.11
944,1.13,0.21
945,1.34,3.34
946,2.39,1.61
947,2.45,0.76
948,1.43,2.35
949,1.78,1.08
950,1.82,1.96
951,2.38,1.08
952,2.92,0.81
953,1.22,2.34
954,1.66,2.15
955,0.97,1.16
956,2.24,1.65
957,2.32,1.14
958,2.14,1.01
959,0.23,1.42
960,1.46,0.01
961,2.23,2.6
962,2.6,2.87
963,0.49,1.32
964,0.71,1.53
965,0.82,2.57
966,2.7,1.86
967,0.86,2.12
968,0.04,1.79
969,1.65,1.37
970,1.04,1.75
971,1.57,0.8
972,0.62,2.26
973,2.69,2.64
974,0.98,0.66
975,2.15,1.56
976,1.01,0.79
977,1.52,1.3
978,1.09,2.21
979,1.33,1.62
980,2.44,2.19
981,1.28,1.8
982,0.44,1.63
983,0.7,1.49
984,1.67,3.91
985,0.57,2.96
986,0.96,1.83
987,1.22,2.82
988,2.14,1.41
989,0.12,1.91
990,1.83,1.24
991,2.67,2.48
992,1.26,1.45
993,2.16,1.31
994,0.02,1.53
995,1.82,2.7
996,1.22,0.94
997,1.42,1.82
998,1.55,1.88
999,1.43,2.37
1000,0.5,0.56
1001,0.8,2.08
1002,2.53,0.6
1003,0.83,2.69
1004,1.56,2.11
1005,1.46,2.53
1006,2.06,1.87
1007,1.19,2.78
1008,1.36,1.63
1009,2.95,2.99
1010,1.28,2.97
1011,1.31,1.48
1012,2.56,0.78
1013,1.15,1.18
1014,1.17,1.69
1015,2.06,0.81
1016,1.78,2.6
1017,0.68,1.02
1018,1.78,1.76
1019,1.47,2.16
1020,2.19,1.49
1021,0.8,2.37
1022,1.85,2.2
1023,1.77,0.95
1024,1.15,1.34
1025,2.08,1.43
1026,0.17,1.69
1027,2.4,2.76
1028,0.98,0.31
1029,1.37,1.63
1030,1.38,1.3
1031,1.06,1.9
1032,0.65,1.83
1033,1.37,1.67
1034,1.13,1.54
1035,1.53,2.92
1036,2.37,2.76
1037,2.11,0.37
1038,1.1,1.66
1039,1.1,0.61
1040,0.17,1.62
1041,0.79,1.85
1042,2.08,1.88
1043,0.77,2.16
1044,2.08,2.02
1045,0.36,1.24
1046,1.79,1.36
1047,1.83,1.16
1048,1.12,4.3
1049,2.64,1.83
1050,1.04,1.81
1051,0.41,2.72
1052,2.05,0.74
1053,2.21,1.12
1054,1.94,2.76
1055,2.94,1.55
1056,1.79,2.23
1057,2.82,2.01
1058,1.44,1.62
1059,1.3,2.23
1060,1.6,1.98
1061,1.01,1.86
1062,1.34,1.77
1063,1.98,0.53
1064,1.1,1.63
1065,0.94,0.8
1066,1.11,1.78
1067,1.38,1.56
1068,0.45,0.71
1069,1.0,1.35
1070,1.73,2.67
1071,0.99,1.32
1072,0.58,1.88
1073,0.61,1.88
1074,0.95,1.35
1075,1.25,1.71
1076,0.88,2.06
1077,1.74,0.64
1078,1.25,2.45
1079,0.86,1.93
1080,0.99,0.67
1081,0.78,2.05
1082,2.33,1.8
1083,0.48,1.83
1084,1.26,2.31
1085,1.13,2.06
1086,1.23,1.27
1087,1.55,1.75
1088,1.5,1.2
1089,3.08,1.39
1090,2.05,0.77
1091,2.14,1.82
1092,1.93,2.28
1093,1.3,1.7
1094,1.95,2.63
1095,1.83,0.15
1096,2.31,1.78
1097,1.37,3.34
1098,1.88,2.79
1099,2.05,2.33
1100,1.51,1.28
1101,1.54,2.29
1102,1.77,0.93
1103,1.34,2.17
1104,1.93,2.44
1105,2.25,2.7
1106,1.9,1.21
1107,1.85,2.5
1108,2.47,1.72
1109,0.46,0.85
1110,1.24,2.55
1111,3.63,2.1
1112,2.43,1.03
1113,2.15,3.44
1114,1.22,0.04
1115,1.22,2.95
1116,1.75,2.57
1117,1.46,2.86
1118,2.0,1.36
1119,0.69,3.53
1120,0.47,2.21
1121,0.61,1.63
1122,2.03,1.23
1123,0.56,0.75
1124,2.78,1.3
1125,2.39,1.49
1126,0.83,1.1
1127,1.73,1.45
1128,3.05,0.09
1129,2.38,1.74
1130,1.54,1.68
1131,2.14,1.0
1132,0.91,1.39
1133,1.7,1.88
1134,1.12,0.99
1135,2.27,2.37
1136,1.19,2.65
1137,1.0,3.87
1138,1.36,3.33
1139,0.96,0.89
1140,3.27,2.71
1141,0.21,0.8
1142,1.13,1.38
1143,1.5,1.41
1144,2.43,1.81
1145,1.23,1.11
1146,0.87,2.9
1147,1.31,1.89
1148,1.41,0.78
1149,1.5,0.78
1150,1.34,1.43
1151,1.75,2.28
1152,1.67,2.04
1153,0.98,1.44
1154,1.32,2.96
1155,3.02,2.01
1156,0.35,1.69
1157,1.2,1.21
1158,1.35,1.26
1159,2.76,1.83
1160,2.34,0.62
1161,0.03,0.69
1162,2.25,1.65
1163,2.27,2.6
1164,2.16,4.12
1165,2.33,1.81
1166,2.15,0.79
1167,2.34,1.57
1168,2.17,2.06
1169,2.13,2.21
1170,0.79,1.37
1171,1.54,1.2
1172,1.45,2.01
1173,2.34,1.11
1174,1.6,0.58
1175,2.88,3.1
1176,1.55,0.15
1177,1.28,1.13
1178,1.94,1.23
1179,0.89,2.75
1180,2.03,1.97
1181,1.67,2.19
1182,2.56,2.47
1183,2.03,2.03
1184,1.4,0.22
1185,1.76,2.7
1186,1.95,1.72
1187,2.66,2.57
1188,1.23,0.47
1189,1.29,1.96
1190,1.69,1.4
1191,0.92,2.57
1192,2.18,2.94
1193,1.99,1.69
1194,2.61,2.34
1195,0.43,1.54
1196,1.72,2.27
1197,2.17,2.65
1198,1.42,0.83
1199,1.42,0.52
1200,1.57,1.98
1201,1.42,2.21
1202,1.19,0.82
1203,0.91,0.04
1204,2.5,1.65
1205,1.86,2.31
1206,2.46,1.57
1207,1.63,1.51
1208,1.13,1.93
1209,1.57,0.41
1210,1.37,1.12
1211,2.07,0.25
1212,1.19,0.65
1213,1.88,3.07
1214,1.77,2.49
1215,0.54,1.93
1216,1.89,2.01
1217,1.35,1.55
1218,0.86,2.46
1219,0.58,1.01
1220,1.05,3.92
1221,0.86,0.32
1222,0.87,1.95
1223,1.87,1.17
1224,1.84,1.57
1225,2.51,0.74
1226,1.15,0.71
1227,1.38,1.93
1228,1.5,3.35
1229,2.85,1.97
1230,1.39,1.85
1231,1.18,1.38
1232,1.21,2.1
1233,0.83,1.35
1234,0.96,1.96
1235,1.45,2.01
1236,0.68,2.1
1237,0.66,1.86
1238,1.55,2.91
1239,1.88,2.8
1240,2.16,2.08
1241,2.02,2.47
1242,2.17,1.34
1243,0.84,1.44
1244,0.49,1.96
1245,0.82,1.34
1246,0.99,0.63
1247,2.36,2.96
1248,2.38,1.58
1249,2.0,2.38
1250,1.68,1.26
1251,1.77,1.35
1252,1.0,1.69
1253,1.29,0.51
1254,1.48,2.62
1255,0.14,1.95
1256,1.8,1.5
1257,1.33,1.6
1258,0.61,1.4
1259,1.33,1.46
1260,0.59,1.3
1261,1.14,1.48
1262,1.31,0.92
1263,0.75,1.61
1264,1.55,1.17
1265,0.32,2.22
1266,2.38,2.51
1267,1.37,3.02
1268,2.04,0.48
1269,2.71,1.72
1270,1.31,1.83
1271,1.81,2.02
1272,2.15,0.07
1273,1.58,0.47
1274,0.93,2.09
1275,1.1,0.16
1276,2.01,1.8
1277,2.35,1.93
1278,1.54,2.12
1279,2.51,2.85
1280,1.49,1.53
1281,1.15,2.16
1282,1.85,1.66
1283,0.57,1.45
1284,1.73,1.07
1285,2.21,2.01
1286,2.12,0.34
1287,1.45,2.12
1288,1.79,1.87
1289,2.34,1.77
1290,0.15,0.31
1291,2.37,2.1
1292,1.08,2.08
1293,0.37,0.85
1294,1.17,2.75
1295,1.2,2.27
1296,0.18,2.66
1297,1.9,2.03
1298,1.36,1.67
1299,1.06,1.2
1300,1.22,3.06
1301,2.19,3.1
1302,0.59,1.06
1303,2.08,1.6
1304,2.27,2.49
1305,1.57,1.57
1306,2.68,1.17
1307,0.21,1.44
1308,2.91,1.91
1309,3.83,1.26
1310,1.45,1.33
1311,1.57,2.36
1312,1.96,1.5
1313,1.29,1.36
1314,1.06,2.65
1315,1.45,1.81
1316,0.36,1.08
1317,2.02,1.81
1318,1.36,1.38
1319,0.42,1.93
1320,1.59,1.43
1321,1.71,2.76
1322,1.22,2.23
1323,1.12,1.19
1324,0.05,1.13
1325,1.96,2.59
1326,1.66,1.58
1327,0.96,1.3
1328,1.09,0.46
1329,0.04,2.12
1330,0.03,0.99
1331,2.31,1.89
1332,1.52,1.78
1333,0.48,2.83
1334,0.8,1.56
1335,1.27,1.04
1336,1.86,1.88
1337,2.19,1.13
1338,1.85,2.74
1339,3.21,0.73
1340,1.33,0.92
1341,1.72,0.54
1342,1.45,0.82
1343,1.63,1.61
1344,1.49,2.43
1345,1.93,0.53
1346,0.59,2.45
1347,1.06,1.66
1348,0.71,1.3
1349,1.68,1.17
1350,1.61,0.4
1351,2.02,1.11
1352,0.97,2.05
1353,1.01,1.96
1354,2.77,1.42
1355,1.67,2.35
1356,2.16,1.27
1357,1.23,1.99
1358,2.99,2.95
1359,0.86,2.0
1360,1.41,0.8
